index,league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance_CrdY_misc,Performance_CrdR_misc,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Standard_Gls_p90,Standard_Sh_p90,Performance_Ast_p90,Performance_Crs_p90,Performance_TklW_p90,Performance_Int_p90,Performance_Fls_p90,Performance_Fld_p90
38,ENG-Premier League,2425,Bournemouth,Justin Kluivert,NED,MF,25,1999,34,29,2340,26.0,12,6,18,6,6,6,8,0,0.46,0.23,0.69,0.23,0.46,NED,MF,25,1999,26.0,12,63,29,46.0,2.42,1.12,0.19,0.41,6,6,NED,MF,25,1999,26.0,8,0,0,46,33,6,86,13,9,,,0,0.46153846153846156,2.423076923076923,0.23076923076923078,3.3076923076923075,0.34615384615384615,0.5,1.7692307692307692,1.2692307692307692
39,ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,29,1994,31,31,2790,31.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ESP,GK,29,1994,31.0,0,1,0,0.0,0.03,0.0,0.0,,0,0,ESP,GK,29,1994,31.0,3,0,0,2,6,0,0,0,0,,,0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.06451612903225806,0.1935483870967742
40,ENG-Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",27,1997,36,32,2978,33.1,1,3,4,1,0,0,8,1,0.03,0.09,0.12,0.03,0.12,ENG,"MF,DF",27,1997,33.1,1,14,4,28.6,0.42,0.12,0.07,0.25,0,0,ENG,"MF,DF",27,1997,33.1,8,1,0,48,10,3,132,45,42,,,0,0.030211480362537763,0.4229607250755287,0.09063444108761329,3.9879154078549846,1.268882175226586,1.3595166163141994,1.4501510574018126,0.3021148036253776
41,ENG-Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,27,1997,17,13,1106,12.3,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,ARG,DF,27,1997,12.3,0,2,0,0.0,0.16,0.0,0.0,,0,0,ARG,DF,27,1997,12.3,5,0,0,22,8,1,11,14,19,,,0,0.0,0.16260162601626016,0.0,0.8943089430894309,1.5447154471544715,1.1382113821138211,1.7886178861788617,0.6504065040650406
42,ENG-Premier League,2425,Bournemouth,Marcus Tavernier,ENG,MF,25,1999,29,20,1939,21.5,3,5,8,3,0,0,6,0,0.14,0.23,0.37,0.14,0.37,ENG,MF,25,1999,21.5,3,57,17,29.8,2.65,0.79,0.05,0.18,0,0,ENG,MF,25,1999,21.5,6,0,0,34,28,4,108,4,22,,,0,0.13953488372093023,2.6511627906976742,0.23255813953488372,5.023255813953488,1.0232558139534884,0.18604651162790697,1.5813953488372092,1.302325581395349
43,ENG-Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,20,2003,38,38,3336,37.1,2,5,7,2,0,0,4,0,0.05,0.13,0.19,0.05,0.19,HUN,DF,20,2003,37.1,2,19,5,26.3,0.51,0.13,0.11,0.4,0,0,HUN,DF,20,2003,37.1,4,0,0,30,50,3,141,41,26,,,0,0.053908355795148244,0.5121293800539083,0.1347708894878706,3.8005390835579513,0.7008086253369272,1.105121293800539,0.8086253369272237,1.3477088948787062
44,ENG-Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,29,1995,29,27,2117,23.5,2,3,5,2,0,0,9,0,0.09,0.13,0.21,0.09,0.21,SCO,MF,29,1995,23.5,2,33,12,36.4,1.4,0.51,0.06,0.17,0,0,SCO,MF,29,1995,23.5,9,0,0,42,31,1,47,30,33,,,0,0.0851063829787234,1.4042553191489362,0.1276595744680851,2.0,1.4042553191489362,1.2765957446808511,1.7872340425531914,1.3191489361702127
45,ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,25,1999,28,21,1965,21.8,0,3,3,0,0,0,7,0,0.0,0.14,0.14,0.0,0.14,USA,MF,25,1999,21.8,0,9,2,22.2,0.41,0.09,0.0,0.0,0,0,USA,MF,25,1999,21.8,7,0,0,46,21,0,2,30,56,,,0,0.0,0.4128440366972477,0.13761467889908258,0.09174311926605504,2.568807339449541,1.3761467889908257,2.110091743119266,0.963302752293578
46,ENG-Premier League,2425,Brentford,Bryan Mbeumo,CMR,"MF,FW",24,1999,38,38,3414,37.9,20,7,27,15,5,6,3,0,0.53,0.18,0.71,0.4,0.58,CMR,"MF,FW",24,1999,37.9,20,85,41,48.2,2.24,1.08,0.24,0.49,5,6,CMR,"MF,FW",24,1999,37.9,3,0,0,25,44,11,200,11,30,,,0,0.5277044854881267,2.242744063324538,0.18469656992084432,5.277044854881266,0.79155672823219,0.29023746701846964,0.6596306068601583,1.1609498680738786
47,ENG-Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,30,1994,34,34,2819,31.3,5,4,9,5,0,0,8,1,0.16,0.13,0.29,0.16,0.29,DEN,MF,30,1994,31.3,5,39,16,41.0,1.25,0.51,0.13,0.31,0,0,DEN,MF,30,1994,31.3,8,1,0,44,28,1,18,46,47,,,0,0.1597444089456869,1.2460063897763578,0.12779552715654952,0.5750798722044729,1.5015974440894568,1.4696485623003195,1.4057507987220448,0.8945686900958466
48,ENG-Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31,1993,22,21,1913,21.3,2,0,2,2,0,0,2,0,0.09,0.0,0.09,0.09,0.09,JAM,DF,31,1993,21.3,2,10,6,60.0,0.47,0.28,0.2,0.33,0,0,JAM,DF,31,1993,21.3,2,0,0,8,4,0,9,23,15,,,1,0.09389671361502347,0.4694835680751174,0.0,0.4225352112676056,0.704225352112676,1.07981220657277,0.3755868544600939,0.18779342723004694
